precision,recall,f1-score,support
2,0.87,0.92,0.90,219
4,0.90,0.92,0.91,567
7,0.84,0.88,0.86,249
8,0.85,0.93,0.89,333
11,0.86,0.91,0.89,268
12,0.91,0.89,0.90,237
15,0.82,0.68,0.75,186
16,0.91,0.93,0.92,325
17,0.91,0.92,0.91,498
18,0.84,0.92,0.88,280
19,0.91,0.92,0.91,1019
20,0.86,0.84,0.85,790
21,0.89,0.88,0.89,981
22,0.84,0.68,0.75,859
23,0.89,0.91,0.90,225
27,0.87,0.81,0.84,405
30,0.85,0.79,0.81,962
32,0.82,0.66,0.73,848
33,0.77,0.65,0.71,997
34,0.87,0.90,0.89,1023
35,0.81,0.79,0.80,260
38,0.85,0.69,0.76,1053
39,0.74,0.74,0.74,1036
40,0.83,0.85,0.84,1060
42,0.91,0.92,0.91,952
44,0.84,0.84,0.84,227
48,0.92,0.94,0.93,822
49,0.87,0.81,0.84,237
56,0.89,0.87,0.88,201
61,0.75,0.87,0.80,992
62,0.80,0.82,0.81,995
63,0.87,0.90,0.88,506
64,0.82,0.93,0.87,1001
65,0.90,0.95,0.93,198
68,0.87,0.90,0.89,579
69,0.89,0.88,0.89,423
70,0.82,0.73,0.77,403
72,0.87,0.79,0.83,266
73,0.82,0.84,0.83,953
76,0.84,0.82,0.83,514
82,0.85,0.90,0.87,981
83,0.84,0.86,0.85,597
84,0.73,0.76,0.74,969
85,0.81,0.83,0.82,972
87,0.70,0.80,0.75,963
90,0.80,0.77,0.78,539
91,0.96,0.98,0.97,617
94,0.88,0.90,0.89,671
95,0.86,0.89,0.87,983
96,0.89,0.93,0.91,952